100_0_3_g_fit_peak_vel,100_0_3_max_peak_vel,100_0_3_ion_temp
539.8715735342291,486.30199517369226,1054.31034726324
140_0_3_g_fit_peak_vel,140_0_3_max_peak_vel,140_0_3_ion_temp
706.4924375798838,736.3376228504817,1083.8497151761494
145_0_3_g_fit_peak_vel,145_0_3_max_peak_vel,145_0_3_ion_temp
758.4280131421485,794.1410653825064,1270.7543392945713
150_0_3_g_fit_peak_vel,150_0_3_max_peak_vel,150_0_3_ion_temp
1017.7281560530558,1089.9705588990325,1528.6971177663024
152_0_3_g_fit_peak_vel,152_0_3_max_peak_vel,152_0_3_ion_temp
1210.5030045002832,1246.3172268849112,1345.5357422143104
154_0_3_g_fit_peak_vel,154_0_3_max_peak_vel,154_0_3_ion_temp
1419.0860942582733,1449.101337640177,1442.79897643362
155_0_3_g_fit_peak_vel,155_0_3_max_peak_vel,155_0_3_ion_temp
1641.198895051374,1659.2080410472324,1185.9576183294093
156_0_3_g_fit_peak_vel,156_0_3_max_peak_vel,156_0_3_ion_temp
1958.3114290363112,1910.5591325234736,1079.1124518196589
157_0_3_g_fit_peak_vel,157_0_3_max_peak_vel,157_0_3_ion_temp
2423.1993115671075,2285.852385159035,1822.9181894601275
158_0_5_g_fit_peak_vel,158_0_5_max_peak_vel,158_0_5_ion_temp
375.6451509037799,7687.689466857746,368.96558406972474
159_0_5_g_fit_peak_vel,159_0_5_max_peak_vel,159_0_5_ion_temp
524.824261641087,470.6424594816416,178.34127846139077
157_10_5_g_fit_peak_vel,157_10_5_max_peak_vel,157_10_5_ion_temp
2204.821425355767,2127.0034961466727,1450.1906925049107
158_10_5_g_fit_peak_vel,158_10_5_max_peak_vel,158_10_5_ion_temp
463.987831388043,266.365012047831,549.0207890238873
